HARGA,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Garasi
18000000000,200,450,5,3,2
3000000000,150,90,4,5,1
5000000000,180,107,6,5,2
850000000,56,56,4,2,0
2500000000,140,135,4,3,1
21000000000,350,520,5,4,2
2900000000,150,120,2,2,0
3000000000,160,140,4,3,1
30000000000,500,703,7,4,8
4750000000,200,150,5,5,2
6900000000,400,268,5,4,3
10000000000,300,368,4,4,3
6700000000,250,125,3,3,3
9000000000,350,300,4,4,0
2800000000,200,110,4,3,2
3000000000,180,135,5,4,3
4100000000,220,110,4,3,2
30000000000,498,750,6,6,0
3500000000,162,149,4,2,2
35000000000,800,700,6,7,10
22000000000,776,776,4,3,4
30000000000,800,498,6,6,9
2000000000,128,148,4,3,2
25000000000,550,485,5,4,4
9500000000,380,386,7,4,4
4600000000,250,151,5,3,4
6000000000,168,221,5,3,2
2350000000,160,80,4,3,1
2600000000,140,84,3,2,1
9000000000,300,287,4,3,1
2600000000,150,90,3,2,1
12000000000,470,270,5,4,1
2700000000,90,78,3,2,0
14500000000,600,208,4,4,2
3750000000,127,180,4,4,2
6000000000,325,225,7,5,2
7500000000,150,253,5,2,0
5200000000,300,260,7,3,1
4900000000,250,266,3,2,1
17500000000,750,724,4,2,3
10900000000,646,428,5,5,6
9000000000,300,388,4,3,1
6500000000,168,221,5,2,1
25000000000,600,1000,10,10,10
6000000000,300,150,5,4,2
3300000000,120,90,4,4,1
1100000000,100,50,2,1,0
5000000000,410,205,3,3,1
2500000000,100,150,3,2,0
3000000000,160,90,4,3,1
3300000000,180,110,4,4,2
4400000000,250,130,4,3,2
4250000000,200,150,5,3,4
3000000000,120,90,4,4,1
2500000000,140,88,4,3,0
8800000000,150,205,5,2,2
5500000000,300,248,5,4,3
2200000000,160,100,3,2,1
6000000000,250,170,5,5,3
7000000000,300,240,4,3,4
10500000000,500,345,6,4,2
3500000000,335,140,5,4,0
6000000000,350,210,5,5,1
3800000000,150,130,3,2,1
5500000000,250,140,5,3,1
2500000000,200,122,4,2,1
7500000000,480,290,5,3,2
6800000000,375,130,4,5,4
12500000000,480,312,4,3,2
9500000000,300,368,5,4,2
6000000000,150,200,5,4,2
3500000000,240,130,5,6,2
9000000000,350,305,4,4,3
8000000000,350,178,8,6,2
20000000000,440,660,9,5,5
9700000000,450,248,5,6,1
3600000000,100,130,3,3,0
4200000000,180,120,4,3,2
9000000000,350,240,6,4,3
950000000,130,92,4,2,0
16450000000,700,550,6,6,0
7500000000,320,360,7,4,0
8700000000,375,265,5,4,4
3500000000,230,150,5,4,2
25000000000,400,932,7,5,9
13000000000,800,370,6,5,4
3750000000,120,150,2,2,2
10000000000,450,750,8,6,1
1600000000,80,80,4,3,1
4500000000,320,146,5,5,3
13500000000,235,256,3,2,2
2000000000,100,90,3,2,1
9000000000,211,234,7,5,4
5800000000,280,170,5,4,2
3200000000,160,135,4,3,1
2400000000,154,147,3,2,1
6750000000,350,210,4,4,2
2400000000,75,101,2,1,2
3100000000,150,95,3,3,2
11000000000,399,384,4,4,0
28000000000,500,703,8,4,6
650000000,50,55,2,1,0
2800000000,150,90,3,3,1
3200000000,170,90,4,4,0
23000000000,750,610,8,6,0
1600000000,80,80,4,3,0
2400000000,100,130,4,2,1
6000000000,450,260,7,4,0
4500000000,251,106,4,3,2
3000000000,200,200,4,3,0
2100000000,162,162,3,3,2
5800000000,180,141,4,3,2
9300000000,385,386,6,4,4
2000000000,130,100,3,2,1
35000000000,400,600,5,3,4
4000000000,200,140,4,3,2
6500000000,250,180,8,4,1
2850000000,160,135,3,2,2
6800000000,300,200,5,5,4
3500000000,150,112,3,4,1
3500000000,160,110,4,4,2
10500000000,800,457,7,5,2
12500000009,480,312,6,4,4
5500000000,265,250,4,3,2
5700000000,250,162,4,4,2
26000000000,550,485,4,3,2
3000000000,90,160,5,4,1
9500000000,385,380,5,4,2
3750000000,160,110,3,3,2
3600000000,150,340,6,4,0
6500000000,170,89,3,3,1
7500000000,300,325,5,4,2
2500000000,120,60,3,4,1
3900000000,200,130,5,4,1
16000000000,450,310,5,5,1
18000000000,300,538,5,5,0
